Time,Amount,Price,Side,ID
1545696623995,0.0490,444254,0,27736587
1545696624218,0.0405,444254,0,27736588
1545696624784,0.0100,444254,0,27736589
1545696625742,0.0108,444254,0,27736590
1545696625773,0.0027,444023,0,27736591
1545696625803,0.0065,444023,0,27736592
1545696629942,0.0003,444167,1,27736593
1545696630858,0.0010,444060,0,27736594
1545696630909,0.0035,444023,0,27736595
1545696630962,0.0155,444000,0,27736596
1545696632854,0.0045,444000,0,27736597
1545696632905,0.0002,443949,0,27736598
1545696632957,0.0099,443859,0,27736599
1545696633008,0.0054,443821,0,27736600
1545696633215,0.0497,444061,0,27736601
1545696635777,0.0200,444061,0,27736602
1545696635898,0.0700,444061,0,27736603
1545696638743,0.0080,443825,0,27736604
1545696638772,0.0407,443821,0,27736605
1545696638806,0.0013,443799,0,27736606
1545696639751,0.0050,443825,0,27736607
1545696639808,0.0281,443799,0,27736608
1545696639858,0.0010,443749,0,27736609
1545696639923,0.0500,443708,0,27736610
1545696639986,0.0151,443703,0,27736611
1545696640047,0.0100,443700,0,27736612
1545696640101,0.0061,443682,0,27736613
1545696640152,0.0200,443651,0,27736614
1545696640202,0.0100,443616,0,27736615
1545696640252,0.1127,443568,0,27736616
1545696640303,0.0930,443344,0,27736617
1545696640352,0.0100,443339,0,27736618
1545696640401,0.0099,443328,0,27736619
1545696640451,0.0600,443252,0,27736620
1545696640501,0.3000,443051,0,27736621
1545696640551,0.0600,443042,0,27736622
1545696640602,0.0050,443022,0,27736623
