Time,Start,Max,Min,End,Tot_trans,Mid,Difindex,Buyindex,PL
1543036500000,484229,484682,484041,484297,1.5937,484361,0,-1,1096
1543036560000,484701,485585,484701,485236,1.3554,485143,0,0,1096
1543036620000,485110,485355,485109,485165,0.2171,485232,0,0,1096
1543036680000,485160,485288,484338,484999,3.5087,484813,-1,-1,1096
1543036740000,484959,485015,484959,485000,0.4018,484987,0,-1,1096
1543036800000,485121,485199,485005,485005,0.2279,485102,-1,-1,1096
1543036860000,485010,485010,484313,484400,1.7219,484661,-1,-2,1096
1543036920000,484410,484814,484400,484415,0.2494,484607,0,-1,1096
1543036980000,484716,484727,484405,484717,0.3966,484566,0,0,1096
1543037040000,484717,484720,484400,484405,0.2937,484560,-1,-1,1096
1543037100000,484405,484410,483901,483901,0.3678,484155,-1,-2,1096
1543037160000,483885,484325,483802,484306,0.9834,484063,0,-1,1096
1543037220000,484312,484750,484193,484248,0.9031,484471,-1,-1,1096
1543037280000,484592,484904,483806,484310,1.3041,484355,-1,-2,1096
1543037340000,484551,484794,484129,484701,0.7892,484461,0,-1,1096
1543037400000,484701,485000,484701,485000,1.5354,484850,0,0,1096
1543037460000,484792,484865,484039,484042,0.46,484452,-1,-1,1096
1543037520000,484145,484591,484020,484027,0.4548,484305,-1,-2,1096
1543037580000,484028,484700,483881,484083,0.7722,484290,0,-1,1096
1543037640000,484093,484093,483899,483904,0.8705,483996,-1,-1,1096
1543037700000,483966,483993,483881,483881,1.0557,483937,-1,-2,1096
1543037760000,483647,483729,483400,483400,0.3614,483564,-1,-2,1096
1543037820000,483199,483927,483030,483221,6.6882,483478,0,-1,1096
1543037880000,483210,483221,482909,483197,1.9795,483065,-1,-1,1096
1543037940000,483198,483198,482923,483190,1.2666,483060,-1,-2,1096
1543038000000,483048,483048,482225,482596,0.994,482636,-1,-2,1096
1543038060000,482317,482600,482317,482591,0.6111,482458,0,-1,1096
1543038120000,482588,482668,481612,482582,2.9648,482140,-1,-1,1096
1543038180000,482155,482630,481685,482442,0.9916,482157,0,-1,1096
1543038240000,482191,482990,482070,482990,0.8908,482530,0,0,1096
1543038300000,482989,483804,482786,483229,1.1595,483295,0,0,1096
1543038360000,483234,483387,482456,482684,0.5609,482921,-1,-1,1096
1543038420000,482700,483531,482685,483142,0.3291,483108,0,-1,1096
1543038480000,483138,483206,482695,482697,0.9775,482950,-1,-1,1096
1543038540000,482697,482916,482337,482636,0.14,482626,-1,-2,1096
1543038600000,482576,483114,482576,483114,0.397,482845,0,-1,1096
1543038660000,482762,483109,482360,482510,1.4659,482734,-1,-1,1096
1543038720000,482634,482929,482634,482919,0.1032,482781,0,-1,1096
1543038780000,483094,483344,482549,482549,0.4415,482946,-1,-1,1096
1543038840000,483184,483184,482759,482759,0.3237,482971,-1,-2,1096
1543038900000,483018,483309,482909,482909,0.327,483109,-1,-2,1096
1543038960000,483148,483559,483148,483559,0.0173,483353,0,-1,1096
1543039020000,483827,484028,483354,483359,1.4027,483691,-1,-1,1096
1543039080000,483807,484028,483659,483660,1.201,483843,-1,-2,1096
1543039140000,483710,483711,483428,483428,0.0486,483569,-1,-2,1096
1543039200000,483613,483814,483613,483814,0.02,483713,0,-1,1096
1543039260000,483515,483900,483506,483900,0.1422,483703,0,0,1096
1543039320000,483900,484418,483625,484417,0.6471,484021,0,0,1096
1543039380000,484401,484563,484305,484330,0.507,484434,-1,-1,1096
1543039440000,484305,484305,483605,483605,1.5978,483955,-1,-2,1096
1543039500000,483626,484178,483618,484178,0.274,483898,0,-1,1096
1543039560000,484000,484189,483000,484189,1.3892,483594,0,0,1096
1543039620000,484189,484563,483972,484469,0.8247,484267,0,0,1096
1543039680000,484371,484371,483985,484293,0.2003,484178,-1,-1,1096
1543039740000,484079,484079,484079,484079,0.0157,484079,0,-1,1096
1543039800000,484089,484089,483859,483859,0.051,483974,-1,-1,1096
1543039860000,484000,484000,483768,483849,0.1421,483884,-1,-2,1096
1543039920000,483545,483545,483458,483458,0.0455,483501,-1,-2,1096
1543039980000,483751,483858,483525,483525,0.2985,483691,-1,-2,1096
1543040040000,483751,483751,483529,483529,0.0202,483640,-1,-2,1096
1543040100000,483525,483535,483021,483470,1.664,483278,-1,-2,1096
1543040160000,483031,483273,483021,483256,0.3123,483147,0,-1,1096
