Time,Start,Max,Min,End,Tot_trans,Mid,Difindex,Buyindex,PL
1543552260000,482844,483064,482252,482734,0.9838,482658,-1,-2,-1350
1543552320000,482458,482513,481651,482115,2.3376,482082,-1,-2,-1350
1543552380000,482115,483000,481827,482908,0.6546,482413,0,-1,-1350
1543552440000,482896,483540,482736,483540,0.4739,483138,0,0,-1350
1543552500000,482925,483147,482069,482069,2.6722,482608,-1,-1,-1350
1543552560000,482069,483228,482001,482173,2.7128,482614,0,-1,-1350
1543552620000,482334,482495,482000,482001,1.5342,482247,-1,-1,-1350
1543552680000,482445,482930,482049,482930,3.3112,482489,0,-1,-1350
1543552740000,482956,482963,482303,482303,0.9402,482633,-1,-1,-1350
1543552800000,482876,483558,482876,483478,0.6768,483217,0,-1,-1350
1543552860000,483400,483912,483000,483000,4.4717,483456,-1,-1,-1350
1543552920000,483698,483698,483011,483011,0.0663,483354,-1,-2,-1350
1543552980000,483353,483353,483011,483219,1.8813,483182,-1,-2,-1350
1543553040000,483177,483308,482464,482565,3.692,482886,-1,-2,-1350
1543553100000,482861,482861,482247,482472,0.7717,482554,-1,-2,-1350
1543553160000,482462,483284,482248,482999,1.148,482766,0,-1,-1350
1543553220000,482999,483834,482999,483243,1.0893,483416,0,0,-1350
1543553280000,483243,483257,482846,482846,2.4953,483051,-1,-1,-1350
1543553340000,482766,483140,482552,483140,1.3522,482846,0,-1,-1350
1543553400000,483151,483500,483150,483500,0.4677,483325,0,0,-1350
1543553460000,483527,484590,483527,484414,11.6234,484058,0,0,-1350
1543553520000,484501,485000,483912,485000,6.0232,484456,0,0,-1350
1543553580000,484791,485000,484525,484665,5.3427,484762,-1,-1,-1350
1543553640000,484933,485838,484933,485838,5.3498,485385,0,-1,-1350
1543553700000,485726,486015,485430,486000,5.6542,485722,0,0,-1350
1543553760000,486010,487140,485923,485925,10.5233,486531,-1,-1,-1350
1543553820000,485923,486365,484785,485212,4.712,485575,-1,-2,-1350
1543553880000,485057,485098,485057,485098,0.016,485077,0,-1,-1350
1543553940000,485043,485118,484547,484708,2.3182,484832,-1,-1,-1350
1543554000000,484708,484921,484229,484920,2.2535,484575,0,-1,-1350
1543554060000,484920,485897,484920,485740,5.3544,485408,0,0,-1350
1543554120000,485405,485571,485007,485366,2.2406,485289,-1,-1,-1350
1543554180000,485472,486277,485472,486000,9.548,485874,0,-1,-1350
1543554240000,486000,487807,485987,487117,6.2669,486897,1,1,-1350
1543554300000,487665,487665,486492,487443,10.471,487078,-1,0,-1350
1543554360000,487445,490000,486646,488699,19.2119,488323,1,0,-1350
1543554420000,488747,488752,487529,488000,8.2688,488140,-1,0,-1350
1543554480000,488000,489220,488000,488849,3.5174,488610,0,-1,-1350
1543554540000,488859,489500,488714,489239,1.881,489107,0,0,-1350
